Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount,id
"198046825","58770235","2","","2019-11-18 00:00:00","","58770235"
"145218687","40856925","2","","2017-08-17 00:00:00","","40856925"
"145222394","35065875","2","","2017-08-17 00:00:00","","35065875"
"198051854","41837637","2","","2019-11-18 00:00:00","","41837637"
"198057822","56201788","2","","2019-11-18 00:00:00","","56201788"
"171236735","44394119","2","","2018-09-13 00:00:00","","44394119"
"171240294","52319370","2","","2018-09-13 00:00:00","","52319370"
"171240301","52319370","5","5026265","2018-09-13 00:00:00","","52319370"
"171240357","52319370","2","","2018-09-13 00:00:00","","52319370"
"171241817","52319370","2","","2018-09-13 00:00:00","","52319370"
"145322996","45762128","16","","2017-08-18 00:00:00","","45762128"
"145323791","45762128","3","","2017-08-18 00:00:00","","45762128"
"145324148","45762128","2","","2017-08-18 00:00:00","","45762128"
"145326959","29761872","2","","2017-08-18 00:00:00","","29761872"
"145328664","34593341","2","","2017-08-18 00:00:00","","34593341"
"198149186","45302887","3","","2019-11-19 00:00:00","","45302887"
"171333534","38071714","2","","2018-09-15 00:00:00","","38071714"
"171334433","35065875","5","1147183","2018-09-15 00:00:00","","35065875"
"171334435","35065875","2","","2018-09-15 00:00:00","","35065875"
"171334499","52342357","5","6872018","2018-09-15 00:00:00","","52342357"
"145334123","35756663","5","5427270","2017-08-18 00:00:00","","35756663"
"145334156","35756663","2","","2017-08-18 00:00:00","","35756663"
"145336555","38820356","5","5427270","2017-08-18 00:00:00","","38820356"
"171340493","50986816","5","5715934","2018-09-15 00:00:00","","50986816"
"171342594","52344354","2","","2018-09-15 00:00:00","","52344354"
"198261989","43612866","2","","2019-11-21 00:00:00","","43612866"
"198265853","45625886","2","","2019-11-21 00:00:00","","45625886"
"117329634","31404820","2","","2016-07-04 00:00:00","","31404820"
"171444210","52369847","3","","2018-09-17 00:00:00","","52369847"
"171445718","46575898","5","1610005","2018-09-17 00:00:00","","46575898"
"171446235","52366559","2","","2018-09-17 00:00:00","","52366559"
"171447240","52369847","2","","2018-09-17 00:00:00","","52369847"
"145454581","40972026","2","","2017-08-21 00:00:00","","40972026"
"145459210","45791262","2","","2017-08-21 00:00:00","","45791262"
"117336122","38178535","2","","2016-07-04 00:00:00","","38178535"
"198267673","55820218","5","459579","2019-11-21 00:00:00","","55820218"
